Категория`Название`Картинка`Описание
РАМКИ ДЛЯ ГОТОВЫХ РАБОТ`"Рамка ""Золотой Восход"" 20*25 см"`https://www.mir-priaji.ru/upload/iblock/e6e/e6e168bceacf606216d6f98b154b6bef.jpg`
РАМКИ ДЛЯ ГОТОВЫХ РАБОТ`Рамка багетная со стеклом 12*14.5 см`https://www.mir-priaji.ru/upload/iblock/5a6/5a658efa935befbad7458b3248215aa8.jpg`
РАМКИ ДЛЯ ГОТОВЫХ РАБОТ`Рамка со стеклом для вышивки 10*15 см, узкая`https://www.mir-priaji.ru/upload/iblock/72c/72cfc2ff4d509ac4e1711ab13e7e0d2c.jpg`
РАМКИ ДЛЯ ГОТОВЫХ РАБОТ`Рамка со стеклом для вышивки 16*26 см`https://www.mir-priaji.ru/upload/iblock/e6e/e6ec46bb000371cc94da144dbc2023f6.jpg`
